Chapter,	Link
1,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145005020001/1280/720
2,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145003892001/1280/720
3,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145007516001/1280/720
4,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145007517001/1280/720
5,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145007518001/1280/720
6,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145005025001/1280/720
7,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145005026001/1280/720
8,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145007523001/1280/720
9,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145004914001/1280/720
10,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145007753001/1280/720
11,	-- Need Video URL --
12,	-- Need Video URL --
13,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145010786001/1280/720
14,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145013222001/1280/720
15,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145009099001/1280/720
16,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145010789001/1280/720
17,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145011732001/1280/720
18,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145011261001/1280/720
19,	-- Need Video URL --
20,	-- Need Video URL --
21,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145015499001/1280/720
22,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145015500001/1280/720
23,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145017759001/1280/720
24,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145015502001/1280/720
25,	-- Need Video URL --
26,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145013287001/1280/720
27,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145018371001/1280/720
28,	-- Need Video URL --
29,	-- Need Video URL --
30,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145015329001/1280/720
31,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145018384001/1280/720
32,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145018386001/1280/720
33,	-- Need Video URL --
34,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145020195001/1280/720
35,	-- Need Video URL --
36,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145015335001/1280/720
37,	-- Need Video URL --
38,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145015067001/1280/720
39,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145014594001/1280/720
40,	-- Need Video URL --
41,	-- Need Video URL --
42,	-- Need Video URL --
43,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145046514001/1280/720
44,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145045406001/1280/720
45,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145045407001/1280/720
46,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145048701001/1280/720
47,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145045413001/1280/720
48,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145048094001/1280/720
49,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145048280001/1280/720
50,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145047723001/1280/720
51,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145047724001/1280/720
52,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145047821001/1280/720
53,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145047824001/1280/720
54,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145048285001/1280/720
55,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145046537001/1280/720
56,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145048725001/1280/720
57,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145045433001/1280/720
58,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145045959001/1280/720
59,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145045961001/1280/720
60,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145048102001/1280/720
61,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145051348001/1280/720
62,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145052747001/1280/720
63,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145052748001/1280/720
