Chapter,	Link
1,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145250941001/1280/720
2,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145257335001/1280/720
3,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145255940001/1280/720
4,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145257359001/1280/720
5,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145254279001/1280/720
6,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145255960001/1280/720
7,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145252858001/1280/720
8,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145257375001/1280/720
9,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145254301001/1280/720
10,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145260061001/1280/720
11,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145250125001/1280/720
12,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145264145001/1280/720
13,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145263083001/1280/720
14,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145263186001/1280/720
15,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145261620001/1280/720
16,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145261625001/1280/720
17,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145266230001/1280/720
18,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145266232001/1280/720
19,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145260842001/1280/720
20,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145265757001/1280/720
21,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145266927001/1280/720
22,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145265765001/1280/720
23,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145260219001/1280/720
24,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145260859001/1280/720
25,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145266946001/1280/720
26,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145266960001/1280/720
27,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145265788001/1280/720
28,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145262347001/1280/720
29,	https://mediasrv.churchofjesuschrist.org/media-services/GA/size/6145270769001/1280/720
